"","date","Close","Mkt_Cap","Inst_1W","Sec_1W","Fund_1W","Pension_1W","Foreign_1W","Others_1W","ret","ret_1W","Code","Mkt_cap_Rank","Foreign_1W_Mkt_cap","sig","sig2"
"1176",2008-03-28 09:00:00,56822,4334.542632,1529.3,2029.72,955.3,NA,-527.62,NA,0.0324139685308333,-0.0091812486498164,"A000120",49,-0.121724492015563,"3",NA
"1186",2008-04-04 09:00:00,56312,4475.013921,-1645.02,443.08,2577.21,NA,1516.23,NA,-0.00897539685333149,0.0324139685308333,"A000120",49,0.338821292350567,"2",NA
"1306",2008-06-27 09:00:00,52745,4294.407978,1996.45,-15.91,295.11,273.04,-103.86,NA,-0.0327165361550734,0.0239226363721716,"A000120",48,-0.0241849401668562,"4",NA
"13110",2008-07-04 09:00:00,50707,4153.936689,2448.21,577.92,1534.57,10.24,96.59,NA,-0.0386387335292445,-0.0327165361550734,"A000120",49,0.0232526413452037,"4",NA
"1326",2008-07-11 09:00:00,50962,3993.398073,955.41,1780.97,9599.71,-65.99,1560.38,NA,0.00502889147454977,-0.0386387335292445,"A000120",47,0.390739909088948,"4",NA
"1336",2008-07-18 09:00:00,50197,4013.4654,2471.58,296.43,1084.69,429.68,683.46,NA,-0.015011184804364,0.00502889147454977,"A000120",46,0.170291738406416,"4",NA
"1346",2008-07-25 09:00:00,50962,3953.263419,1669.59,-0.13,1500.49,250.33,-297.3,NA,0.015239954578959,-0.015011184804364,"A000120",45,-0.0752036908471947,"4",NA
"1356",2008-08-01 09:00:00,50452,4013.4654,-254.42,122.64,514.57,-313.26,121.48,NA,-0.0100074565362427,0.015239954578959,"A000120",50,0.0302681069581415,"3",NA
"1366",2008-08-08 09:00:00,49891,3973.330746,1101.1,105.14,548.25,315.53,-114.3,NA,-0.0111194799016887,-0.0100074565362427,"A000120",48,-0.0287667972556947,"4",NA
"1376",2008-08-14 09:00:00,50248,3929.1826266,904.91,225.57,408.4,127.41,-92.72,NA,0.00715559920626974,-0.0111194799016887,"A000120",50,-0.0235977832570823,"4",NA
"1386",2008-08-22 09:00:00,48617,3957.2768844,302.17,-25.85,72.44,17.57,75.12,NA,-0.0324590033434167,0.00715559920626974,"A000120",50,0.018982750561663,"3",NA
"1396",2008-08-29 09:00:00,49076,3828.8459916,44.69,771.22,47.6,-74.1,324.14,NA,0.00944114198737078,-0.0324590033434167,"A000120",49,0.0846573616988309,"4",NA
"1406",2008-09-05 09:00:00,46630,3864.9671802,1383.28,502.6,1168.4,14.25,-380.08,NA,-0.0498410628413074,0.00944114198737078,"A000120",44,-0.0983397742540034,"4",NA
"14110",2008-09-12 09:00:00,48006,3672.320841,112.9,1659.84,-472.05,249.37,190.73,NA,0.029508899849882,-0.0498410628413074,"A000120",47,0.0519371831215224,"4",NA
"1426",2008-09-19 09:00:00,47547,3780.6844068,-794.59,2617.89,-459.33,-336.32,604.81,NA,-0.00956130483689543,0.029508899849882,"A000120",48,0.159973680668024,"4",NA
"1436",2008-09-26 09:00:00,47394,3748.4883492,759.63,770.75,1608.35,916.48,-694.91,NA,-0.00321786863524509,-0.00956130483689543,"A000120",48,-0.185384062924541,"3",NA
"1446",2008-10-02 09:00:00,50248,3736.435332,-2063.65,1052.37,300.24,490.15,437.48,NA,0.0602185930708528,-0.00321786863524509,"A000120",48,0.117084857926828,"3",NA
"1456",2008-10-10 09:00:00,48159,3961.4249864,-3893.63,-788.14,175.78,484.59,3385.14,NA,-0.04157379398185,0.0602185930708528,"A000120",43,0.854525836440561,"4",NA
"1466",2008-10-17 09:00:00,50299,3796.700418,-2132.26,-2079.26,-674.69,371.93,3451.24,NA,0.044436138624141,-0.04157379398185,"A000120",41,0.909010356370972,"4",NA
"1476",2008-10-24 09:00:00,43776,3965.4426588,-588.13,-836.43,-307.18,317.97,1865.1,NA,-0.129684486769121,0.044436138624141,"A000120",35,0.470338411239164,"4",NA
